"식사코드	급식일자	요리명"
"1	20190117	찹쌀밥<br/>애호박우렁된장국5.6.13.<br/>안동찜닭2.5.6.8.13.15.<br/>김치참치볶음@5.9.13.<br/>텐저린5.13.<br/>에그타르트1.2.5.6.13."
"2	20190117	찹쌀밥<br/>얼큰어묵국@1.5.6.13.<br/>상추쑥갓겉절이5.6.13.<br/>제육김치볶음9.10.13.<br/>고추장떡1.5.6.<br/>깍두기9.13."
"3	20190117	찹쌀밥<br/>근대된장국@5.6.13.<br/>고추장떡볶이@1.5.6.13.<br/>고추잡채김말이%1.5.6.<br/>석박지9.13.<br/>부추겉절이(자)5.6.13."
"1	20190118	찹쌀밥<br/>소프트치즈케익1.2.5.6.13.<br/>두부청국장5.6.9.13.<br/>계란후라이1.5.<br/>스팸구이/김구이1.6.10.13.<br/>배추김치9.13.<br/>귤(생과)"
"2	20190118	찹쌀밥<br/>미트소스스파게티1.2.5.6.9.10.12.13.<br/>잔멸치고추장무침5.6.13.<br/>매콤닭꼬치5.6.12.13.15.<br/>총각김치9.13.<br/>옥수수스프&마늘빵 2.5.6.13."
"1	20190121	찹쌀밥<br/>붕어빵13.<br/>쇠고기미역국@5.6.16.<br/>잔멸치아몬드볶음5.6.13.<br/>비엔나메추리알조림1.2.5.6.10.12.13.<br/>배추김치9.13.<br/>텐저린5.13."
"2	20190121	흑미기장밥<br/>별별브라우니1.2.5.6.13.<br/>양상추샐러드1.2.5.6.10.13.<br/>감자튀김&케첩5.12.13.<br/>고구마치즈돈까스&소스1.2.5.6.10.11.12.13.<br/>배추김치9.13.<br/>옥수수스프2.5.6.13."
"3	20190121	찹쌀밥<br/>북어무채국1.9.13.<br/>느티리버섯볶음<br/>당면불고기%5.6.8.10.13.<br/>플레오요구르트2.<br/>깻잎쌈&쌈장"
"1	20190122	찹쌀밥<br/>소프트치즈케익1.2.5.6.13.<br/>얼큰콩나물국5.6.13.<br/>열무된장무침5.6.<br/>치즈불닭2.5.6.12.13.15.<br/>엔요2."
"2	20190122	찰보리밥<br/>등뼈감자탕5.6.10.13.<br/>깻잎양념찜5.6.13.<br/>고추장떡볶이1.5.6.13.<br/>치킨텐더&머스터드1.2.5.6.12.13.15.<br/>총각김치9.13."
"3	20190122	찹쌀밥<br/>자장우동@1.2.5.6.10.13.<br/>아욱수제비된장국@5.6.13.<br/>단무지무침<br/>메추리알감자조림1.5.6.13.<br/>배추김치9.13."
"1	20190123	찹쌀밥<br/>조랭이떡만두국1.5.6.10.13.<br/>근대나물/김치5.6.<br/>제육구이5.6.10.13.<br/>피칸파이1.2.5.6.13.<br/>프로바이오틱2."
"2	20190123	잔치국수1.5.6.9.13.<br/>추가밥<br/>(취나물볶음)5.6.<br/>배추김치9.13.<br/>귤<br/>바람떡5.13.<br/>핫도그*케첩1.2.5.6.10.12.13."
"3	20190123	찹쌀밥<br/>비빔국수5.6.13.<br/>계란만두국@1.5.6.10.13.<br/>숙주맛살무침1.5.6.13.<br/>삼치구이2.5.6.<br/>배추겉절이9.13."
